      ujd      | seeing_new | ub1_zp_new | lmt_mg_new | ccdid | good_pix_area |   ra_ul   |  dec_ul  |   ra_ur   |  dec_ur  |   ra_lr   |  dec_lr  |   ra_ll   |  dec_ll  
 2455201.00139 |        3.1 |       23.7 |     14.035 |    10 |      0.658292 | 214.96601 | 54.71106 | 214.91149 | 53.56069 | 213.94345 | 53.57134 | 213.97059 | 54.72207
 2455201.00139 |        3.2 |       23.7 |     13.706 |     1 |      0.649448 | 211.88698 | 55.87983 | 211.91963 |  54.7288 | 210.92395 | 54.71482 | 210.86215 |  55.8655
 2455201.00139 |        3.2 |       23.8 |     14.239 |     2 |      0.657792 | 212.92946 | 55.88579 | 212.93392 | 54.73424 | 211.93669 | 54.72867 |  211.9029 | 55.88004
 2455201.00139 |        3.1 |       23.6 |     13.381 |     0 |       0.65741 |  210.8422 | 55.86517 | 210.90709 | 54.71646 | 209.91395 |  54.6947 | 209.82013 | 55.84275
 2455201.00139 |        3.3 |       24.3 |     14.498 |    11 |      0.658505 | 215.97733 | 54.69006 | 215.89678 | 53.54116 | 214.93032 | 53.55971 | 214.98381 | 54.70915
 2455201.00139 |        3.2 |       24.2 |     14.179 |     4 |      0.657698 | 215.02304 | 55.87031 | 214.96625 | 54.71995 | 213.97104 | 54.73267 | 213.99861 | 55.88338
 2455201.00139 |        3.2 |       24.3 |     14.848 |     5 |      0.648646 | 216.06536 | 55.85026 | 215.97771 | 54.70084 | 214.98623 | 54.72232 | 215.04467 | 55.87232
 2455201.00139 |        3.1 |       23.5 |     13.828 |     6 |       0.65715 | 210.91051 | 54.70545 | 210.96502 | 53.55595 | 209.99953 | 53.53687 | 209.91785 | 54.68583
 2455201.00139 |        3.2 |       23.5 |     13.891 |     7 |      0.657644 | 211.92283 | 54.71959 | 211.94761 | 53.56874 | 210.98086 | 53.55854 | 210.92889 | 54.70908
 2455201.00139 |          3 |       23.8 |     14.443 |     8 |      0.656888 | 212.93629 | 54.72552 | 212.93504 | 53.57399 |  211.9659 | 53.57067 | 211.93969 | 54.72206
 2455201.00139 |          3 |         24 |     14.229 |     9 |      0.658209 | 213.94858 |  54.7216 | 213.92029 | 53.57058 | 212.95187 | 53.57467 | 212.95285 | 54.72585
 2455202.98102 |        2.6 |         27 |     19.146 |     2 |      0.658828 | 212.92943 | 55.88425 | 212.93366 | 54.73286 | 211.93579 | 54.72706 | 211.90222 | 55.87826
 2455202.98102 |        2.6 |       27.3 |     19.338 |     0 |       0.65681 | 210.84132 | 55.86471 | 210.90726 | 54.71546 | 209.91441 | 54.69251 | 209.81953 | 55.84108
 2455202.98102 |        2.8 |         27 |     18.931 |     1 |      0.650164 | 211.88635 | 55.87786 | 211.91837 | 54.72688 |  210.9234 | 54.71339 | 210.86226 | 55.86403
 2455202.98102 |        2.5 |       27.5 |     19.273 |     4 |      0.658506 | 215.02304 | 55.86882 |   214.966 | 54.71854 | 213.97023 | 54.73096 | 213.99804 |  55.8816
 2455202.98102 |        2.6 |       27.3 |     19.373 |     5 |      0.649625 | 216.06564 | 55.84835 |  215.9784 | 54.69952 | 214.98536 | 54.72089 | 215.04337 | 55.87028
 2455202.98102 |        2.8 |         27 |     19.181 |     6 |      0.658208 | 210.91013 | 54.70366 |  210.9645 | 53.55419 | 209.99863 | 53.53529 | 209.91708 | 54.68422
 2455202.98102 |        2.9 |         27 |     19.075 |     7 |      0.658307 | 211.92291 | 54.71844 |  211.9484 | 53.56769 | 210.98048 | 53.55691 | 210.92777 | 54.70735
 2455202.98102 |        2.6 |       27.2 |     19.235 |     8 |      0.657942 | 212.93591 | 54.72394 | 212.93413 | 53.57275 | 211.96507 | 53.56932 |  211.9394 | 54.72038
 2455202.98102 |        2.5 |       27.2 |      19.35 |     9 |      0.659021 |  213.9481 | 54.72005 | 213.91939 |  53.5689 | 212.95124 | 53.57326 |  212.9526 | 54.72457
 2455202.98102 |        2.5 |         27 |     19.303 |    10 |      0.659223 |  214.9657 | 54.70896 |  214.9108 | 53.55892 | 213.94287 | 53.57004 | 213.97057 |  54.7204
 2455202.98102 |        2.9 |       27.5 |     19.263 |    11 |      0.659444 |  215.9769 | 54.68835 | 215.89565 | 53.53924 | 214.92941 |   53.558 | 214.98361 | 54.70767
   2455203.025 |        2.7 |       27.5 |     19.838 |     8 |      0.657282 | 212.93456 | 54.72549 | 212.93312 | 53.57427 | 211.96412 | 53.57066 | 211.93817 | 54.72174
   2455203.025 |        2.9 |       27.5 |     19.915 |     7 |      0.657555 | 211.92176 | 54.71988 | 211.94755 | 53.56914 | 210.97955 |  53.5582 | 210.92654 | 54.70864
   2455203.025 |        2.7 |       27.5 |     19.907 |     9 |      0.658141 |  213.9467 | 54.72154 | 213.91836 | 53.57043 | 212.95026 | 53.57476 | 212.95131 | 54.72603
   2455203.025 |        2.8 |       27.7 |     19.906 |     0 |        0.6561 | 210.83981 | 55.86612 |  210.9061 | 54.71682 |  209.9133 |  54.6937 | 209.81807 | 55.84232
   2455203.025 |        2.9 |       27.6 |     19.787 |    11 |      0.658116 | 215.97525 | 54.69017 | 215.89448 | 53.54106 | 214.92844 | 53.55968 | 214.98215 | 54.70934
   2455203.025 |        2.9 |       27.5 |      19.72 |     1 |      0.649447 | 211.88483 | 55.87924 | 211.91726 | 54.72832 | 210.92233 | 54.71471 | 210.86078 | 55.86529
   2455203.025 |        2.8 |       27.5 |     19.992 |     6 |      0.657482 | 210.90879 | 54.70492 | 210.96358 | 53.55551 | 209.99803 |  53.5366 | 209.91607 | 54.68547
   2455203.025 |        2.8 |       27.5 |     19.798 |     2 |      0.658239 | 212.92778 | 55.88571 | 212.93226 | 54.73434 | 211.93458 | 54.72847 | 211.90075 | 55.87964
   2455203.025 |        2.7 |       27.5 |     20.055 |    10 |      0.658269 | 214.96426 | 54.71066 | 214.90959 | 53.56064 | 213.94181 | 53.57163 | 213.96928 | 54.72197
   2455203.025 |        2.7 |       27.7 |     19.783 |     4 |      0.657561 | 215.02151 | 55.87046 |  214.9647 | 54.72019 | 213.96869 | 54.73257 | 213.99626 |  55.8832
   2455203.025 |        2.7 |       27.5 |     19.828 |     5 |      0.648644 | 216.06404 | 55.85018 | 215.97682 | 54.70121 | 214.98376 | 54.72252 | 215.04174 | 55.87206
 2455205.06161 |          3 |       23.8 |     15.484 |     1 |       0.64868 | 211.88021 | 55.87932 | 211.91287 | 54.72854 | 210.91953 | 54.71621 |  210.8578 | 55.86665
 2455205.06161 |        2.9 |       23.6 |     15.615 |     2 |      0.657741 | 212.92418 | 55.88718 | 212.92906 | 54.73565 | 211.93171 | 54.72955 | 211.89748 | 55.88088
 2455205.06161 |        2.7 |       23.6 |      15.34 |     4 |      0.656813 | 215.01756 | 55.87163 | 214.96074 | 54.72182 | 213.96581 | 54.73442 | 213.99343 | 55.88458
 2455205.06161 |        2.7 |       23.3 |      15.32 |     5 |      0.647699 | 216.05972 | 55.85161 | 215.97211 | 54.70194 | 214.98082 | 54.72353 | 215.03938 | 55.87377
 2455205.06161 |        2.7 |       24.2 |     16.253 |     6 |      0.656643 | 210.90614 | 54.70629 | 210.96062 | 53.55661 | 209.99495 | 53.53757 | 209.91328 | 54.68673
 2455205.06161 |        2.9 |         24 |     15.933 |     7 |      0.656909 | 211.91839 |   54.721 | 211.94373 | 53.57045 | 210.97643 | 53.55949 | 210.92389 | 54.70973
 2455205.06161 |        2.6 |       23.8 |      15.65 |     9 |       0.65738 | 213.94355 | 54.72277 | 213.91581 | 53.57191 | 212.94754 | 53.57624 | 212.94798 | 54.72726
 2455205.06161 |        2.8 |       23.3 |     15.433 |    10 |       0.65742 | 214.96095 | 54.71274 | 214.90695 | 53.56226 | 213.93905 | 53.57289 | 213.96567 | 54.72372
 2455205.06161 |        2.6 |         24 |     15.862 |     8 |      0.656641 | 212.93098 |  54.7261 | 212.92939 | 53.57512 |  211.9615 |  53.5722 | 211.93582 | 54.72313
 2455205.06161 |          3 |       23.6 |     15.424 |    11 |      0.655174 | 215.97175 | 54.69206 | 215.89159 | 53.54303 | 214.92597 | 53.56117 | 214.97909 | 54.71075
 2455205.06161 |        2.8 |       24.4 |      15.95 |     0 |      0.655427 | 210.83595 | 55.86615 | 210.90155 | 54.71713 | 209.90989 | 54.69523 |  209.8154 | 55.84358
 2455205.95602 |        2.8 |       27.7 |     20.757 |     7 |      0.659043 | 211.92326 | 54.71721 |  211.9486 | 53.56638 | 210.98047 | 53.55554 |  210.9279 | 54.70606
 2455205.95602 |        2.4 |         28 |     20.985 |     0 |      0.657529 | 210.84173 | 55.86365 | 210.90748 | 54.71429 | 209.91454 |  54.6912 | 209.81985 | 55.83989
 2455205.95602 |        2.9 |       27.8 |     20.685 |     1 |      0.650885 | 211.88678 | 55.87658 | 211.91884 | 54.72561 | 210.92376 |  54.7121 | 210.86256 | 55.86274
 2455205.95602 |        2.5 |       27.6 |     20.851 |     2 |      0.659332 | 212.92971 | 55.88289 | 212.93388 | 54.73144 | 211.93611 | 54.72573 |  211.9026 | 55.87699
 2455205.95602 |        2.3 |       28.1 |     20.962 |     4 |      0.659211 | 215.02365 | 55.86743 | 214.96635 | 54.71713 | 213.97043 | 54.72954 | 213.99848 | 55.88019
 2455205.95602 |        2.5 |       27.9 |     20.973 |     5 |      0.649941 | 216.06631 | 55.84694 | 215.97864 | 54.69794 | 214.98556 | 54.71937 | 215.04399 | 55.86895
 2455205.95602 |        2.6 |       27.7 |     20.839 |     6 |      0.658936 | 210.91011 | 54.70228 | 210.96455 | 53.55293 | 209.99895 | 53.53416 | 209.91734 | 54.68298
 2455205.95602 |        2.4 |       27.9 |     20.964 |     8 |      0.658689 | 212.93622 |  54.7226 | 212.93439 | 53.57134 | 211.96516 | 53.56793 | 211.93959 | 54.71906
 2455205.95602 |        2.3 |       27.9 |     21.101 |     9 |      0.659826 | 213.94849 | 54.71871 | 213.91961 | 53.56743 | 212.95123 |  53.5718 | 212.95275 | 54.72324
 2455205.95602 |        2.4 |       27.6 |     20.865 |    10 |       0.65993 | 214.96598 | 54.70742 | 214.91105 | 53.55752 | 213.94307 | 53.56857 | 213.97093 | 54.71881
 2455205.95602 |        2.9 |         28 |     20.872 |    11 |      0.659838 | 215.97706 |  54.6869 | 215.89598 |  53.5377 | 214.92981 | 53.55647 | 214.98383 | 54.70623
 2455206.00056 |        2.2 |       27.6 |     21.006 |     2 |      0.658744 | 212.92839 | 55.88468 | 212.93291 | 54.73328 |  211.9352 | 54.72745 | 211.90133 | 55.87866
 2455206.00056 |        2.4 |       27.8 |     20.898 |     1 |      0.650007 | 211.88554 | 55.87828 | 211.91789 | 54.72733 | 210.92287 | 54.71366 |  210.8614 | 55.86426
 2455206.00056 |        2.2 |         28 |       21.1 |     0 |      0.656664 | 210.84054 | 55.86522 | 210.90663 |  54.7159 | 209.91379 |  54.6927 | 209.81876 | 55.84135
 2455206.00056 |        2.1 |       27.6 |     21.045 |    10 |      0.658902 | 214.96484 | 54.70958 | 214.91018 | 53.55957 | 213.94233 | 53.57053 | 213.96979 | 54.72087
 2455206.00056 |        2.5 |       27.7 |     20.875 |     7 |      0.658122 | 211.92233 | 54.71892 | 211.94799 | 53.56812 | 210.97994 | 53.55716 | 210.92705 | 54.70764
 2455206.00056 |        2.7 |         28 |     20.948 |    11 |      0.658982 |  215.9758 | 54.68912 |  215.8951 | 53.53994 | 214.92902 |  53.5585 | 214.98267 | 54.70823
